N,M,L,Analytical KL,Ground Truth MC KL,Ground Truth MC KL (CI),MC KL,MC KL (CI),Disc KL,Disc KL (CI),Time (s)
10,2000,2000,-,1.7713330149650575,1.0100515981688654,1.7359556257724762,0.9987805082380617,1.5452495992183686,0.6884231941663017,39.47116870880127
20,2000,2000,-,0.49555453658103943,0.2601885316782102,0.4908627599477768,0.2513012186874464,0.27667549550533294,0.11534462353186249,33.78145871162415
30,2000,2000,-,0.20256618559360504,0.06296158822201796,0.20712881535291672,0.050155639944012245,0.20365626960992814,0.06401627769244518,31.733290672302246
40,2000,2000,-,0.3717547610402107,0.3032218387585922,0.3620156392455101,0.2740847031127533,0.35595469921827316,0.3081718890793619,31.39839768409729
50,2000,2000,-,0.11185765713453293,0.055520178568612834,0.11909568756818771,0.061221466837444886,0.13308292254805565,0.11569195117576599,30.54845881462097
60,2000,2000,-,0.19221960306167601,0.031404315381509416,0.1981869727373123,0.03551291090312467,0.4714080929756165,0.2123977808410459,32.02938470840454
70,2000,2000,-,0.07506721876561642,0.029246482471609294,0.07632984146475792,0.027653279063665208,0.13993413210846484,0.1142455456742059,29.0721314907074
80,2000,2000,-,0.09076291248202324,0.030359529216264714,0.09745887368917465,0.03843822562376592,0.2882768664509058,0.2361248661300499,31.791577434539796
90,2000,2000,-,0.07224821299314499,0.025744991636555407,0.07370458096265793,0.027620345642386405,0.15352701861411333,0.14249211150854957,29.06996922492981
100,2000,2000,-,0.06936989948153496,0.025180571394440323,0.06451053246855736,0.02134006852673352,0.16352696450194343,0.11805494526310006,29.78727717399597
110,2000,2000,-,0.05907050557434559,0.021397144390164654,0.059331652149558066,0.018591051342422036,0.09373963514808566,0.04577882688492501,28.414415645599366
120,2000,2000,-,0.06324633210897446,0.024864297308683732,0.06371494755148888,0.028737656487649334,0.14636562541127204,0.12321104267699198,28.305933237075806
130,2000,2000,-,0.049429028481245044,0.017498105551456127,0.04894993603229523,0.02100860292653875,0.09429484754800796,0.06650995218040028,26.694301080703735
140,2000,2000,-,0.04273258969187736,0.008792876263027915,0.03918994478881359,0.009752445534600803,0.15099123402033002,0.1431801841233945,23.68392405509949
150,2000,2000,-,0.047264343872666356,0.014416995053536566,0.04464462772011757,0.012073810119733143,0.05044772531837225,0.024045662089619117,23.65351347923279
