N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
train_100,400,112,-,-,-,-,0.00212904214859,0.0024406984946787,65.6814154624939,0.0342124671450237,0.0010168363039686,0.0217702865600585,0.007835641237211,0.0010445236278268,0.0169137477874755
train_50,400,112,-,-,-,-,0.0015792369842529,0.0016980390988195,59.426022911071776,0.0342124671450237,0.0010168363039686,0.0215660095214843,0.007835641237211,0.0010445236278268,0.0168355464935302
train_25,400,112,-,-,-,-,0.0021359145641326,0.0024515643916952,61.4204975605011,0.0342124671450237,0.0010168363039686,0.0214955329895019,0.007835641237211,0.0010445236278268,0.0167952060699462
train_12_5,400,112,-,-,-,-,0.0031728506088256,0.0024787095539305,62.19995293617249,0.03421246714502378,0.001016836303968612,0.021382951736450197,0.007835641237211052,0.0010445236278268282,0.016697263717651366
