N,M,L,Disc JS (MLP),Disc JS (RF),Disc JS (LogReg),Disc JS (XGBoost),Disc JS (TabPFN),Time (MLP),Time (RF),Time (LogReg),Time (XGBoost),Time (TabPFN),Syndat JS,Syndat Time (s),Synthcity JS,Synthcity Time (s)
train_100,400,112,0.0532701671123504,0.5280695557594299,0.0052319109439849,0.97183438539505,0.989840006828308,16.28063063621521,127.29283151626586,49.03479299545288,67.66089372634887,0.295862865447998,0.0350886256872294,0.0192508220672607,0.0260723332773885,0.0150936126708984
train_50,400,112,0.0751545131206512,0.5349069178104401,0.0043987810611724,0.9727923274040222,0.9898343324661256,17.104531049728394,117.91268563270567,51.45626873970032,69.43338131904602,0.2938724517822265,0.0350886256872294,0.0192155838012695,0.0260723332773885,0.0152423381805419
train_25,400,112,0.0675559103488922,0.5093599498271942,0.0054308474063873,0.9730118155479432,0.9898528337478638,16.576811504364013,113.33906497955324,50.827174758911134,69.91715745925903,0.3207935810089111,0.0350886256872294,0.0190291404724121,0.0260723332773885,0.0150831222534179
train_12_5,400,112,0.0698502480983734,0.5335394620895386,0.0066643416881561,0.9723864674568176,0.98981431722641,17.514881134033203,110.86195044517515,49.680674409866334,65.73372879028321,0.2493350028991699,0.0350886256872294,0.0187587261199951,0.0260723332773885,0.0148845672607421
