N,M,L,Analytical KL,Ground Truth MC KL,Ground Truth MC KL (CI),MC KL,MC KL (CI),Disc KL,Disc KL (CI),Time (s)
10,2000,2000,-,1.7713330260560511,1.0100514747097156,1.7359556772698848,0.9987804999662041,1.2003649950027466,0.6655783212316188,905.2925646305084
20,2000,2000,-,0.4955546370725587,0.260188594872803,0.4908627368472411,0.2513011993446453,0.3169966608285904,0.18907114245053902,703.023383140564
30,2000,2000,-,0.20256618706051555,0.0629616003367489,0.20712881314399195,0.05015564201508328,0.15850836038589478,0.04100346038768459,948.5647814273834
40,2000,2000,-,0.3717548657467168,0.3032220107482342,0.36201563582527013,0.27408470097563803,0.21904434114694596,0.1811769371887655,654.0665297985076
50,2000,2000,-,0.11185765122450446,0.055520178713197414,0.11909568440213374,0.06122146564439064,0.0751182010397315,0.04713386928706137,908.7362516403198
60,2000,2000,-,0.19221957438028642,0.031404324897756734,0.19818697889751175,0.035512918537374955,0.15022225081920623,0.028362688358018338,910.5839526176453
70,2000,2000,-,0.07506721727364987,0.029246482214973453,0.07632983758775289,0.027653273871722422,0.04545565713196993,0.04908744795680282,673.3102957248688
80,2000,2000,-,0.09076291963591228,0.030359532901930095,0.09745887416841517,0.03843823167234482,0.07062797173857689,0.022539298171725484,527.8324952602386
90,2000,2000,-,0.0722482121535492,0.025744986266674385,0.07370458297315939,0.02762034678045175,0.045711715891957286,0.009592264555899031,830.4038470745087
100,2000,2000,-,0.06936990411183248,0.02518057268634277,0.06451053493043109,0.02134006967113715,0.0297614760696888,0.03260253166607084,838.7983684539795
110,2000,2000,-,0.05907051318149531,0.02139714522964826,0.05933165073672697,0.018591051046673288,0.027420755103230478,0.0299343011661215,521.4776881694794
120,2000,2000,-,0.06324632347744685,0.024864291788244366,0.06371494724824607,0.028737659019632284,0.05093483924865723,0.006767288149395816,515.9652910709381
130,2000,2000,-,0.04942902836483125,0.017498105631834817,0.04894993602045071,0.021008602504805723,0.017131628084462135,0.023177675999523525,421.50049180984496
140,2000,2000,-,0.042732590411158504,0.008792876971164657,0.039189944200435804,0.009752447061436154,0.02283906682714587,0.02817151643306093,333.2624254703522
150,2000,2000,-,0.04726434494252181,0.014416995023204789,0.04464462784062193,0.012073810643668683,0.02052862737327814,0.023838680647707368,409.3804738998413
