N,M,L,Analytical KL,Disc KL (MLP),Disc KL (RF),Disc KL (LogReg),Disc KL (LogRegPol),Disc KL (TabPFN),Time (MLP),Time (RF),Time (LogReg),Time (LogRegPol),Time (TabPFN)
0.1,2000,2000,-,2.5336397171020506,2.8466782569885254,2.4490880012512206,2.8195126056671143,2.8121434688568114,60.43855004310608,19.361635780334478,0.6769685268402099,1.0966984748840332,0.8251043796539307
0.2,2000,2000,-,1.7818790435791017,2.053342032432556,1.7487332344055175,1.9812394380569456,2.05311062335968,75.30735645294189,20.231177282333373,0.5776076316833496,1.037959337234497,0.329295015335083
0.3,2000,2000,-,1.4080644845962524,1.5034629106521606,1.343003511428833,1.5247617483139038,1.60821213722229,145.16998262405394,21.611294555664063,0.5611177921295166,1.2723076820373536,0.295091438293457
0.4,2000,2000,-,1.1287795066833497,1.2162868976593018,1.0450973510742188,1.2171954870224,1.2874765872955325,141.05197682380677,22.58454337120056,0.6409011363983155,1.2699957847595216,0.3027269840240478
0.5,2000,2000,-,0.8929999351501465,0.9662646532058716,0.8162372708320618,0.9855640769004822,1.0328338503837586,131.63442764282226,23.64340672492981,0.5765504837036133,1.4231033325195312,0.3361713409423828
0.6,2000,2000,-,0.7129810214042663,0.7637776017189026,0.6390126705169678,0.8409007787704468,0.8336642980575562,122.1571487426758,24.5519971370697,0.5968853950500488,1.4991378307342529,0.3533618450164795
0.7,2000,2000,-,0.5726966023445129,0.5994432806968689,0.4779187262058258,0.6640178203582764,0.6642646431922913,158.69686512947084,25.26903004646301,0.6070733547210694,1.3787810802459717,0.3408171653747558
0.8,2000,2000,-,0.4476091146469116,0.4756555378437042,0.3438111007213592,0.5563833236694335,0.5286201775074005,169.68098101615905,26.455457544326784,0.8505369186401367,1.4720240592956544,0.346263313293457
0.9,2000,2000,-,0.3275010764598846,0.3404647409915924,0.2243012279272079,0.407528954744339,0.398128467798233,171.04069437980652,27.4517765045166,0.7188806056976318,1.481969451904297,0.3546900749206543
1.0,2000,2000,-,0.2244121432304382,0.2305514156818389,0.1175683230161666,0.3302034139633178,0.2752225279808044,201.2004534244537,28.02899141311645,0.6939124584197998,1.4428850173950196,0.3677527904510498
