N,MLP GPU Estimation,MLP CPU Estimation,Absolute Estimation Difference,MLP GPU Time (s),MLP CPU Time (s),CPU/GPU Time Ratio
2,0.0806278467178344,0.0806278467178344,0.0,64.98777933120728,80.35134844779968,1.2364070487513148
10,0.2936043500900268,0.2936043500900268,0.0,63.41391401290893,79.81778116226197,1.2586793041352684
25,0.4198728382587433,0.4198728382587433,0.0,66.34672684669495,76.35445079803466,1.1508397539258297
40,0.5132486283779144,0.5132486283779144,0.0,70.61580214500427,71.67080030441284,1.0149399727449417
50,0.5794582843780518,0.5794582843780518,0.0,69.91215786933898,71.93786768913269,1.028975072169559
