N,M,L,Analytical KL,Disc KL (MLP),Disc KL (RF),Disc KL (LogReg),Disc KL (LogRegPol),Disc KL (TabPFN),Time (MLP),Time (RF),Time (LogReg),Time (LogRegPol),Time (TabPFN)
0.1,2000,2000,-,2.802789640426636,3.110185480117798,2.7743128299713136,2.7597967624664306,3.105841398239136,64.45463714599609,19.20309653282165,0.5501776695251465,1.1396636009216308,0.2389796257019042
0.2,2000,2000,-,2.088361120223999,2.2309664726257323,2.063967490196228,2.213535785675049,2.332436180114746,115.9462113380432,20.08702344894409,0.5944877147674561,1.5283883094787598,0.2652827739715576
0.3,2000,2000,-,1.6844681262969972,1.912965965270996,1.64239981174469,1.7547473430633544,1.8767581224441527,171.4471221923828,21.116349935531616,0.5440913677215576,1.7543230533599854,0.2783771991729736
0.4,2000,2000,-,1.380262517929077,1.4610866069793702,1.3347521781921388,1.4613905668258669,1.5662734508514404,120.25524034500124,22.040804862976078,0.6090497493743896,2.007651424407959,0.3027693748474121
0.5,2000,2000,-,1.1452248573303223,1.230903196334839,1.132418942451477,1.2588450908660889,1.328371453285217,92.24113445281982,22.85480465888977,0.5843119144439697,2.0755515575408934,0.3218159675598144
0.6,2000,2000,-,0.9825313210487364,1.057681965827942,0.9425268054008484,1.1137101173400878,1.129994797706604,126.79086332321168,23.627221298217773,0.771519947052002,2.0909637928009035,0.3227458953857421
0.7,2000,2000,-,0.8370827913284302,0.8778213024139404,0.7863257050514221,0.9718929290771484,0.9610472679138184,129.01345777511597,24.71931772232056,0.6644455909729003,2.084516143798828,0.3242644786834717
0.8,2000,2000,-,0.7120962619781495,0.7443735241889954,0.6280550599098206,0.9147469639778136,0.8227769136428833,178.2024082660675,25.615615940094,0.7186158657073974,1.895275354385376,0.3381150245666504
0.9,2000,2000,-,0.5921020269393921,0.6421213269233703,0.5095073163509369,0.741111159324646,0.6879460930824279,181.10086603164672,26.507596015930176,0.6564123153686523,1.8934405326843264,0.3606868743896484
1.0,2000,2000,-,0.48205326795578,0.519649451971054,0.401455146074295,0.6251492619514465,0.5691344320774079,190.0896601200104,27.45524682998657,0.7177356719970703,1.9901639461517333,0.3764418601989746
