N,M,L,Disc JS (MLP),Disc JS (RF),Disc JS (LogReg),Disc JS (XGBoost),Disc JS (LogRegPol),Disc JS (TabPFN),Time (MLP),Time (RF),Time (LogReg),Time (XGBoost),Time (LogRegPol),Time (TabPFN),Syndat JS,Syndat Time (s),Synthcity JS,Synthcity Time (s),GT MC JS
0.1,2000,2000,0.0,0.0,0.0,0.0,0.0,0.0,64.45463714599609,19.20309653282165,0.5501776695251465,62.0460985660553,1.1396636009216308,0.2389796257019042,0.1119080715950831,0.0020802021026611,0.0934609119527846,0.0027485370635986,0.1890062540769577
0.2,2000,2000,0.0,0.0,0.0,0.0,0.0,0.0,115.9462113380432,20.08702344894409,0.5944877147674561,68.11982455253602,1.5283883094787598,0.2652827739715576,0.0963290566721749,0.0021551132202148,0.0842945585054169,0.0027804374694824,0.1887951791286468
0.3,2000,2000,0.0118387818336486,0.0,0.0,0.0,0.002147626876831,0.0,171.4471221923828,21.116349935531616,0.5440913677215576,67.45043697357178,1.7543230533599854,0.2783771991729736,0.0940372407235874,0.0021343231201171,0.0840880821814852,0.0027915477752685,0.1890107780694961
0.4,2000,2000,0.0861280918121338,0.0646462678909301,0.047473120689392,0.0636000514030456,0.0628801822662353,0.0513511776924133,120.25524034500124,22.040804862976078,0.6090497493743896,69.95857105255126,2.007651424407959,0.3027693748474121,0.0918003097876211,0.0021600723266601,0.0820529912056748,0.0028256893157958,0.1889995545148849
0.5,2000,2000,0.1295289278030395,0.1062809228897094,0.0904928207397461,0.1085585474967956,0.1134917497634887,0.1054425477981567,92.24113445281982,22.85480465888977,0.5843119144439697,72.53683605194092,2.0755515575408934,0.3218159675598144,0.0901309258116412,0.0021882057189941,0.0806474508760893,0.0028642654418945,0.1889929771423339
0.6,2000,2000,0.1525901079177856,0.1375742316246032,0.1200745940208435,0.1391870737075805,0.1418273091316223,0.1399705171585083,126.79086332321168,23.627221298217773,0.771519947052002,71.30867261886597,2.0909637928009035,0.3227458953857421,0.0912250731585648,0.0022357463836669,0.081953644646371,0.0028873920440673,0.1889483958482742
0.7,2000,2000,0.1708869457244873,0.1555568933486938,0.1434799432754516,0.1574564099311828,0.162966501712799,0.1640557885169982,129.01345777511597,24.71931772232056,0.6644455909729003,70.9898256778717,2.084516143798828,0.3242644786834717,0.0919212756989764,0.0022616386413574,0.0827637207832358,0.0029131412506103,0.189085304737091
0.8,2000,2000,0.1790608942508697,0.1678869009017944,0.1552288830280304,0.1721331715583801,0.1762729883193969,0.1747867584228515,178.2024082660675,25.615615940094,0.7186158657073974,74.40240864753723,1.895275354385376,0.3381150245666504,0.0923461441604271,0.0022785663604736,0.0834111673820381,0.0029205799102783,0.1892225176095962
0.9,2000,2000,0.1846022129058838,0.1743795812129974,0.1610666811466217,0.1765166163444519,0.1836830556392669,0.1826016366481781,181.10086603164672,26.507596015930176,0.6564123153686523,72.69948735237122,1.8934405326843264,0.3606868743896484,0.092272974181,0.0023854255676269,0.083641454042553,0.0030881404876708,0.1891350418329239
1.0,2000,2000,0.1872070670127868,0.1762114822864532,0.1634325623512268,0.1780953168869018,0.1862831175327301,0.1870526373386383,190.0896601200104,27.45524682998657,0.7177356719970703,72.1258439064026,1.9901639461517333,0.3764418601989746,0.0915251059423888,0.0023151397705078,0.0828752845578101,0.0029831409454345,0.1890922725200653
