case_label,model,calibration,protocol,djs_error_mean,djs_error_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,acc_mean,acc_std
UC6 ratio=0.1,RF,isotonic,calibration->prior,0.09876598408084336,0.09699118243219763,0.3636567234972651,0.03366347425375597,0.6734120654031945,0.09626925589649664,0.22418416119599707,0.025907112064429624,0.7127272727272727,0.12737009262722462
UC6 ratio=0.1,RF,isotonic,prior->calibration,0.5988572755458315,0.18158834010595118,0.02945456477630217,0.019433819738770983,0.3529455994388264,0.15892833636658316,0.08090607539629394,0.008150277824863526,0.9072727272727272,0.0040655781409087025
UC6 ratio=0.1,RF,platt,calibration->prior,0.09135255378053535,0.05340901507735583,0.3874922780949149,0.02768840566179138,0.661831295767277,0.03269181542503951,0.23666456064375524,0.012915177292976303,0.4163636363636364,0.08916508971083076
UC6 ratio=0.1,RF,platt,prior->calibration,0.618023694034006,0.09781537603058117,0.02607441076035617,0.029224216487504832,0.2909671361385728,0.016907982871628428,0.08010930337138025,0.002900510118149957,0.909090909090909,0.0
UC6 ratio=0.1,RF,temperature,calibration->prior,0.45849438133177073,0.45270031193968246,0.4701679401472522,0.06643726492719335,1.0425598802700142,0.19938628216829934,0.38135407253188236,0.07652084994843107,0.40545454545454546,0.10748822730078147
UC6 ratio=0.1,RF,temperature,prior->calibration,0.3517965294689449,0.371050909330541,0.27214868419280913,0.04777947034532502,0.5207883468995891,0.1019953031343048,0.1722267571094628,0.033000779701536996,0.7072727272727273,0.07987593685995927
UC6 ratio=0.1,XGBoost,isotonic,calibration->prior,0.12473191976476894,0.08569635746309745,0.34194484290472504,0.03660245517864785,0.6395699155325222,0.09151633043581846,0.21763565414443092,0.03807690617270577,0.44545454545454544,0.051425947722658
UC6 ratio=0.1,XGBoost,isotonic,prior->calibration,0.5334088272663817,0.24412318544029513,0.04143830545780498,0.02337042966500788,0.33545173539334067,0.13443523642807267,0.07460628149057869,0.011592201306327364,0.9163636363636364,0.009958591954639398
UC6 ratio=0.1,XGBoost,platt,calibration->prior,0.07093218912055685,0.07362462516703971,0.38869276936346303,0.01713930306049257,0.6509434496938502,0.044246852447228244,0.22987038430967743,0.02091644845672856,0.610909090909091,0.07643935639846514
UC6 ratio=0.1,XGBoost,platt,prior->calibration,0.5609716603806969,0.14319216605100968,0.03961576781384509,0.03337970928604136,0.27959765631195915,0.029227320637269905,0.07691220002725482,0.0063274256778346576,0.909090909090909,0.0
UC6 ratio=0.1,XGBoost,temperature,calibration->prior,0.13599761384241543,0.13821455812571065,0.3948973659117513,0.02951493779650708,0.7344298489378858,0.10521393137244808,0.2618827334112039,0.043416445444519884,0.5727272727272728,0.08455034198971942
UC6 ratio=0.1,XGBoost,temperature,prior->calibration,0.23388753782298544,0.31126356547247064,0.24279570712840853,0.0578400049664362,0.49311991043066533,0.10298033771565304,0.16259391298368692,0.038478678410796885,0.76,0.07146634184375837
