seed,model,calibration,apply_prior,n_train_p,n_train_q,prior_shift,accuracy,f1,nll,brier,ece,saturation,djs_est,djs_gt,djs_error,val_nll,val_brier,val_ece,calibrator_extra,case,case_label,protocol
0,LogReg,raw,False,100,100,0.0,0.725,0.7120418848167539,0.5530959371324964,0.18206656708171728,0.0657142823857088,0.015,0.1400512434274489,0.19230633974075317,0.05225509631330427,0.5259770525372448,0.17273638697402277,0.07573667417925187,,use_case_1,UC1,raw_no_prior
0,LogReg,raw,True,100,100,0.0,0.725,0.7120418848167539,0.5530959371324964,0.18206656708171728,0.06571428238570878,0.015,0.1400512434274489,0.19230633974075317,0.05225509631330427,0.5259770525372448,0.17273638697402277,0.07573667417925187,,use_case_1,UC1,raw_plus_prior
0,LogReg,platt,True,100,100,0.0,0.72,0.7021276595744681,0.5513280655888083,0.18259796526513875,0.07126423439277323,0.005,0.14181911497113686,0.19230633974075317,0.05048722476961631,0.5259770525372448,0.17273638697402277,0.07573667417925187,,use_case_1,UC1,platt_plus_prior
0,LogReg,isotonic,True,100,100,0.0,0.73,0.7216494845360825,0.6646524909526192,0.193950740147889,0.09716980040615968,0.03,0.02849468960732604,0.19230633974075317,0.16381165013342713,0.5259770525372448,0.17273638697402277,0.07573667417925187,,use_case_1,UC1,isotonic_plus_prior
0,LogReg,temperature,True,100,100,0.0,0.725,0.7120418848167539,0.5502323523689738,0.18209874510273594,0.06006063833628937,0.005,0.14291482819097157,0.19230633974075317,0.04939151154978161,0.5259770525372448,0.17273638697402277,0.07573667417925187,1.103911547008578,use_case_1,UC1,temperature_plus_prior
0,LogRegPol,raw,False,100,100,0.0,0.725,0.7120418848167539,0.5530959371324964,0.18206656708171728,0.0657142823857088,0.015,0.1400512434274489,0.19230633974075317,0.05225509631330427,0.5259770525372448,0.17273638697402277,0.07573667417925187,,use_case_1,UC1,raw_no_prior
0,LogRegPol,raw,True,100,100,0.0,0.725,0.7120418848167539,0.5530959371324964,0.18206656708171728,0.06571428238570878,0.015,0.1400512434274489,0.19230633974075317,0.05225509631330427,0.5259770525372448,0.17273638697402277,0.07573667417925187,,use_case_1,UC1,raw_plus_prior
0,LogRegPol,platt,True,100,100,0.0,0.72,0.7021276595744681,0.5513280655888083,0.18259796526513875,0.07126423439277323,0.005,0.14181911497113686,0.19230633974075317,0.05048722476961631,0.5259770525372448,0.17273638697402277,0.07573667417925187,,use_case_1,UC1,platt_plus_prior
0,LogRegPol,isotonic,True,100,100,0.0,0.73,0.7216494845360825,0.6646524909526192,0.193950740147889,0.09716980040615968,0.03,0.02849468960732604,0.19230633974075317,0.16381165013342713,0.5259770525372448,0.17273638697402277,0.07573667417925187,,use_case_1,UC1,isotonic_plus_prior
0,LogRegPol,temperature,True,100,100,0.0,0.725,0.7120418848167539,0.5502323523689738,0.18209874510273594,0.06006063833628937,0.005,0.14291482819097157,0.19230633974075317,0.04939151154978161,0.5259770525372448,0.17273638697402277,0.07573667417925187,1.103911547008578,use_case_1,UC1,temperature_plus_prior
