case_label,model,protocol,djs_error_mean,djs_error_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,acc_mean,acc_std,saturation_mean
UC1,LogReg,isotonic_plus_prior,0.15939907814497645,0.12015738137773613,0.08437930886047287,0.013890878547016759,0.6471064229181023,0.09173177519649851,0.1804161427200158,0.023845977443272687,0.741,0.04839938016132024,0.12
UC1,LogReg,platt_plus_prior,0.058036905153129204,0.023309202935498024,0.09222917134276122,0.030849164182932595,0.5281771335252815,0.050250983709992154,0.17542265702662596,0.022022305078218927,0.742,0.04982469267341243,0.034
UC1,LogReg,raw_no_prior,0.0616669615442039,0.01897665618022104,0.08780330063935507,0.020199871283602747,0.5313378504857569,0.0557625469809044,0.17588264809762227,0.023941998092342504,0.744,0.046824139073772614,0.043000000000000003
UC1,LogReg,raw_plus_prior,0.0616669615442039,0.01897665618022104,0.08780330063935507,0.020199871283602757,0.531337850485757,0.05576254698090439,0.17588264809762227,0.023941998092342504,0.744,0.046824139073772614,0.043000000000000003
UC1,LogReg,temperature_plus_prior,0.05842035846649749,0.02230883496430131,0.08846660972376794,0.020042093164588527,0.5281414964819233,0.05228838513707665,0.17535063411034313,0.02282902847227961,0.744,0.046824139073772614,0.031
UC1,LogRegPol,isotonic_plus_prior,0.15939907814497645,0.12015738137773613,0.08437930886047287,0.013890878547016759,0.6471064229181023,0.09173177519649851,0.1804161427200158,0.023845977443272687,0.741,0.04839938016132024,0.12
UC1,LogRegPol,platt_plus_prior,0.058036905153129204,0.023309202935498024,0.09222917134276122,0.030849164182932595,0.5281771335252815,0.050250983709992154,0.17542265702662596,0.022022305078218927,0.742,0.04982469267341243,0.034
UC1,LogRegPol,raw_no_prior,0.0616669615442039,0.01897665618022104,0.08780330063935507,0.020199871283602747,0.5313378504857569,0.0557625469809044,0.17588264809762227,0.023941998092342504,0.744,0.046824139073772614,0.043000000000000003
UC1,LogRegPol,raw_plus_prior,0.0616669615442039,0.01897665618022104,0.08780330063935507,0.020199871283602757,0.531337850485757,0.05576254698090439,0.17588264809762227,0.023941998092342504,0.744,0.046824139073772614,0.043000000000000003
UC1,LogRegPol,temperature_plus_prior,0.05842035846649749,0.02230883496430131,0.08846660972376794,0.020042093164588527,0.5281414964819233,0.05228838513707665,0.17535063411034313,0.02282902847227961,0.744,0.046824139073772614,0.031
UC1,MLP,isotonic_plus_prior,0.23917281785480649,0.13825111415514466,0.0810565513964576,0.0236025951279395,0.7268801598068015,0.12505083108307877,0.2061443945117701,0.02322441356480454,0.689,0.043931765272977555,0.097
UC1,MLP,platt_plus_prior,0.0980838290072676,0.04224379748118237,0.09658767480439759,0.01133372762305777,0.5857911731444205,0.04824721593802165,0.20066474021131167,0.021252571489239168,0.6910000000000001,0.03380088756231115,0.0
UC1,MLP,raw_no_prior,1.1259971434714589,0.18287949440204518,0.26746468672834933,0.03747148259175499,1.6199866520140862,0.2116711738754615,0.26729698023976817,0.03748798375286682,0.688,0.03718198488515636,0.658
UC1,MLP,raw_plus_prior,1.1259971434714557,0.18287949440204024,0.26746468182975575,0.03747148476630973,1.613704486044393,0.20629156628290926,0.2672969798597077,0.037487983737529554,0.688,0.03718198488515636,0.658
UC1,MLP,temperature_plus_prior,0.09980337728154601,0.0406686459695908,0.08945830772361951,0.007770130919706517,0.5875107213356829,0.049057483436482724,0.2013754143711306,0.021585042772515054,0.688,0.03718198488515636,0.0
UC1,RF,isotonic_plus_prior,0.14754981952161322,0.11393204943864996,0.08075898914997068,0.013928416512466745,0.632456622862692,0.13567554030387494,0.18750146242707194,0.023263370483850403,0.7230000000000001,0.042807709586007985,0.08399999999999999
UC1,RF,platt_plus_prior,0.05832306062737187,0.03379420972998322,0.08410795252348244,0.011013762520374443,0.5460304054004977,0.045323458569555455,0.18271139168737557,0.01905218641330177,0.726,0.04615192303685729,0.027000000000000003
