seed,model,calibration,prior_order,accuracy,nll,brier,ece,djs_est,djs_gt,djs_error,saturation,case,case_label,protocol
0,RF,platt,prior->calibration,0.9090909090909091,0.305063274890465,0.08271508215942613,3.409096792972299e-05,-0.5554445064950034,0.13166238367557526,0.6871068901705787,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
0,RF,platt,calibration->prior,0.2727272727272727,0.6937841926885737,0.2503185105266822,0.409218116848647,-0.0012808922475980866,0.13166238367557526,0.13294327592317334,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
0,RF,isotonic,prior->calibration,0.9,0.6337950938026689,0.09201400797005192,0.018021978021977983,-0.6856914866543674,0.13166238367557526,0.8173538703299427,0.00909090909090909,use_case_6,UC6 ratio=0.1,prior->calibration
0,RF,isotonic,calibration->prior,0.9,0.8154790590670723,0.23743549111629902,0.3877899225963742,-0.0845921087550956,0.13166238367557526,0.21625449243067085,0.00909090909090909,use_case_6,UC6 ratio=0.1,calibration->prior
0,RF,temperature,prior->calibration,0.6181818181818182,0.6137080738251373,0.20904750851097456,0.3209067712460618,-0.4236646697201282,0.13166238367557526,0.5553270533957034,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
0,RF,temperature,calibration->prior,0.2727272727272727,1.3181924120671762,0.49426433145739623,0.5557627129920847,-0.5500064749711159,0.13166238367557526,0.6816688586466911,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
0,XGBoost,platt,prior->calibration,0.9090909090909091,0.31586458168915904,0.08464420691412933,0.007656892538959732,-0.5984885199129227,0.13166238367557526,0.730150903588498,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
0,XGBoost,platt,calibration->prior,0.509090909090909,0.7121675626981168,0.259335693276032,0.411927381051894,-0.03270810741541186,0.13166238367557526,0.16437049109098711,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
0,XGBoost,isotonic,prior->calibration,0.9090909090909091,0.3390433883199257,0.08933689982612728,0.0501694514713206,-0.672843778920703,0.13166238367557526,0.8045061625962783,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
0,XGBoost,isotonic,calibration->prior,0.36363636363636365,0.7462439427689687,0.2743535823789442,0.40322582446595867,-0.10056489211676445,0.13166238367557526,0.2322272757923397,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
0,XGBoost,temperature,prior->calibration,0.7181818181818181,0.567615152544418,0.18788916197353103,0.23090143271193972,-0.6350571361028409,0.13166238367557526,0.7667195197784161,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
0,XGBoost,temperature,calibration->prior,0.4818181818181818,0.8501079196130006,0.3123591879929386,0.4255542804052204,-0.17926305532173925,0.13166238367557526,0.3109254389973145,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
1,RF,platt,prior->calibration,0.9090909090909091,0.2692274756272277,0.07711024322668024,0.0293072753829176,-0.3521882299213538,0.12957018613815308,0.48175841605950687,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
