N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
0.0,2000,2000,0.0,0.0,0.0,0.0,0.0,0.0,32.18089761734009,0.0081865497234937,0.0006197783942357,0.0020422935485839,0.0063467564132662,0.0007906857515325,0.0029805183410644
0.1,2000,2000,0.0017655160278081,6.694297349123644e-05,0.0026073903311043,0.0006578402701982,0.0008840322494506,0.0007483386529312,31.77679991722107,0.0082299478901018,0.0008969057371424,0.0019542217254638,0.0065317523838928,0.0009298197442167,0.0028270721435546
0.2,2000,2000,0.0073020488023757,0.0001309125422678,0.008786719944328,0.0013992428620429,0.0069212436676025,0.0005136178017136,31.65633316040039,0.0083027418511146,0.001009664660055,0.0019623756408691,0.0064881204000976,0.0011439993619385,0.0028277873992919
0.3,2000,2000,0.0170467019081115,0.0001913790325471,0.0189525488764047,0.0022489128207287,0.0165956199169158,0.0014791795027778,31.678885078430177,0.0085736561772629,0.0011493917881969,0.0019509315490722,0.0067533970795112,0.0011837212449808,0.0030379772186279
0.4,2000,2000,0.0318209797143936,0.0002484627757588,0.0339272610843181,0.0032440838895703,0.0309029877185821,0.0022018096373875,31.41769218444824,0.0086281608755377,0.0010411261099458,0.0018849849700927,0.0067239932222372,0.0009291825219601,0.0027219295501708
0.5,2000,2000,0.0530224457383155,0.0003029849330687,0.0551273167133331,0.0044131333006063,0.0508426010608673,0.0033683951335368,31.30949831008911,0.0086023287686053,0.0007883249031365,0.0018394947052001,0.0067648936367546,0.0009240304082751,0.0027019023895263
0.6,2000,2000,0.083050824701786,0.0003551159953041,0.0849915355443954,0.005750204101589,0.0821702122688293,0.0052396993016879,30.587157011032104,0.0085211135284789,0.0022173245255881,0.0017914295196533,0.0067128834310132,0.0021874063212648,0.0025808334350585
0.7,2000,2000,0.1263443410396575,0.0004013187459975,0.1280165761709213,0.0072063437753499,0.1256882429122924,0.0065651688403093,29.87743139266968,0.0082202883704612,0.0014966565617274,0.0017968654632568,0.0063248730444401,0.0012915950890139,0.0042150497436523
0.8,2000,2000,0.1924375981092453,0.0004319696293807,0.1938106209039688,0.0086849432315956,0.1904797434806823,0.0082982502571726,31.04639105796814,0.008074221872128,0.001328779119843,0.0017951965332031,0.0062775940561494,0.0012406111711542,0.0025867938995361
0.9,2000,2000,0.3091929852962494,0.0004686823203809,0.3102900087833404,0.0098879327007106,0.3073099970817566,0.009671962418614,35.797727537155154,0.0077373333715499565,0.0009547872116599722,0.001789999008178711,0.006052830691700562,0.0009252518501416156,0.0025876522064208984
