Dataset,Generator,MLP GPU time (s),MLP GPU std,MLP CPU time (s),MLP CPU std,CPU/GPU speedup
adult,VAE,11.013971328735352,1.2653176867799958,15.124624061584473,1.8323696375980212,1.3732216663869885
adult,CTGAN,12.023480558395386,2.2173440913290725,15.004164791107177,2.224544878208082,1.2479052732056468
intrusion,VAE,28.994643688201904,8.338005101098256,41.04535312652588,13.750454927260341,1.4156184696702268
intrusion,CTGAN,16.32774062156677,10.8967765547522,21.220872116088866,11.113932177243388,1.2996820936792026
