N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
train_100,400,112,-,-,-,-,0.91880099773407,0.0209972235077846,100.78173184394836,0.0342124671450237,0.0010168363039686,0.0217702865600585,0.007835641237211,0.0010445236278268,0.0169137477874755
train_12_5,400,112,-,-,-,-,0.9091655611991882,0.0335594487935098,97.17133073806762,0.03421246714502378,0.001016836303968612,0.021382951736450197,0.007835641237211052,0.0010445236278268282,0.016697263717651366
train_25,400,112,-,-,-,-,0.9125528812408448,0.0277613260419619,107.9994348526001,0.0342124671450237,0.0010168363039686,0.0214955329895019,0.007835641237211,0.0010445236278268,0.0167952060699462
train_50,400,112,-,-,-,-,0.9129051923751832,0.0287439740263425,101.21511650085448,0.0342124671450237,0.0010168363039686,0.0215660095214843,0.007835641237211,0.0010445236278268,0.0168355464935302
