N,M,L,Disc JS (MLP),Disc JS (RF),Disc JS (LogReg),Disc JS (XGBoost),Disc JS (LogRegPol),Disc JS (TabPFN),Time (MLP),Time (RF),Time (LogReg),Time (XGBoost),Time (LogRegPol),Time (TabPFN),Syndat JS,Syndat Time (s),Synthcity JS,Synthcity Time (s),GT MC JS
10,2000,2000,0.1819093644618988,0.1374728918075561,0.0882116794586181,0.0667644023895263,0.0129103422164917,0.1947578191757202,213.0677728652954,192.0381691455841,39.47116870880127,5.226573276519775,32.248953104019165,0.611652135848999,0.0825262424358984,0.0025074958801269,0.0749944339634891,0.0034874439239501,0.2484610736370086
100,2000,2000,0.0078015148639678,0.0704271972179412,0.0373577654361724,0.0325218915939331,0.0244141638278961,0.1460530877113342,148.83434591293334,187.90725202560424,33.78145871162415,5.294514179229736,32.831795358657835,0.4482910633087158,0.0405283087984334,0.0026097774505615,0.0363061308300575,0.0036190032958984,0.0202219687402248
110,2000,2000,0.0079043865203857,0.0288077592849731,0.0282496929168701,0.0292764067649841,0.0233881294727325,0.060880035161972,122.70935831069946,174.60848646163942,31.73329067230225,5.217248582839966,31.8031596660614,0.4435567855834961,0.0265046597242905,0.0028651714324951,0.0233684867987222,0.0039244174957275,0.0185502914711833
120,2000,2000,0.0211936354637146,0.0409590184688568,0.0281412065029144,0.0239499747753143,0.0115305066108703,0.0675555050373077,97.40904726982116,183.86640157699583,31.39839768409729,5.275349378585815,31.313765382766725,0.445347261428833,0.0251408233893247,0.0052269458770751,0.0218365625912849,0.0085522651672363,0.0200919274240732
130,2000,2000,0.0096768021583557,0.0223805487155914,0.0217719435691833,0.0165679693222045,0.0184386551380157,0.035368937253952,118.47916955947876,162.8244204044342,30.54845881462097,5.207916688919068,30.71922326087952,0.4890886306762695,0.0197347015913912,0.0062913417816162,0.0174878270923817,0.0105091571807861,0.0163852183148264
140,2000,2000,0.0027381539344787,0.0087810218334198,0.0070488035678863,0.0228917479515075,0.0047029376029968,0.0398560047149658,78.04244728088379,172.82417035102844,32.02938470840454,5.306514263153076,33.08825454711914,0.4533926010131835,0.0238603161277673,0.0091534614562988,0.0212752469515753,0.0161413192749023,0.0128528075292706
150,2000,2000,0.0090223491191864,0.0094309628009796,0.0092364430427551,0.0069159269332885,0.0062112927436828,0.0483424842357635,105.58596138954162,174.03314533233643,29.0721314907074,5.1993426322937015,33.42938303947449,0.4481873989105224,0.0189660855535185,0.0062760829925537,0.016604118379065,0.0097299575805664,0.0138053239323198
20,2000,2000,0.1174685895442962,0.0181807339191436,0.0119398117065429,0.0092438220977783,0.0101952254772186,0.0318235218524932,149.9614601135254,167.94926762580872,31.7915774345398,5.26777024269104,33.62395091056824,0.4494435787200928,0.0178214990516746,0.0070550441741943,0.0154349299485866,0.0122914791107177,0.1062130063772201
30,2000,2000,0.0536740660667419,0.0115490913391113,0.0063439071178436,0.0106581926345825,0.0089546084403991,0.0339309990406036,202.59266066551208,159.28655185699463,29.06996922492981,5.26034984588623,33.71398973464966,0.4459197044372558,0.018642707734327,0.0061006546020507,0.0164990974118823,0.01010422706604,0.0537944763898849
40,2000,2000,0.0384265124797821,0.0004074037075042,0.0,0.004311728477478,6.186366081237794e-05,0.0217921733856201,119.0067967414856,165.7516758441925,29.78727717399597,5.2404285907745365,32.79425764083862,0.6245904445648194,0.0143110749882335,0.0062734603881835,0.0124916116787372,0.0103240013122558,0.0676992740482091
50,2000,2000,0.0221815168857574,0.0051284432411193,0.003497040271759,0.0060052156448364,0.0046715080738067,0.0189870059490203,174.12426948547363,168.74285626411438,28.41441564559937,5.283047533035278,32.28084869384766,1.292787742614746,0.0121965487001896,0.0076647758483886,0.0103692195804129,0.0125022411346435,0.0357031954452395
60,2000,2000,0.0350846230983734,0.0078242063522338,0.0091186702251434,0.0130261123180389,0.0109428763389587,0.0388744294643402,251.71594653129577,170.41571574211122,28.30593323707581,5.275880002975464,32.76210880279541,0.965544319152832,0.0177763355847396,0.0081099987030029,0.0151337255298881,0.0138866901397705,0.0557120949029922
70,2000,2000,0.0189564168453216,0.0027309775352478,0.0028636574745178,0.0008012473583221,0.0,0.0131596326828002,125.15729641914368,166.5866590023041,26.69430108070373,5.274203586578369,31.8145712852478,1.2238383769989014,0.0110072125947994,0.0058228969573974,0.0093597346302283,0.0095333576202392,0.0245089946314692
80,2000,2000,0.024391484260559,0.0020461976528167,0.0019233763217926,0.0002542316913604,0.0003549695014953,0.0141098320484161,144.49377846717834,150.64147448539734,23.68392405509949,5.230101966857911,32.82782416343689,1.167166233062744,0.0117864954416663,0.0065974712371826,0.0099569078391681,0.0184169769287109,0.028449073061347
90,2000,2000,0.0250950694084167,0.005043339729309,0.0044610977172851,0.004068386554718,0.003326141834259,0.0175773382186889,154.6217158794403,158.48989367485046,23.65351347923279,5.305834436416626,27.8764696598053,1.2389368057250976,0.0115368192202399,0.0052203178405761,0.0097455250739787,0.0084136962890625,0.0244469795376062
