N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
train_100,400,112,-,-,-,-,0.0698073923587799,0.0202892815288457,105.67670073509215,0.0115571389583983,0.0014141775167265,0.0083799839019775,0.0092942536723949,0.001023217796651,0.0073094367980957
train_12_5,400,112,-,-,-,-,0.0716132164001464,0.0197432849518284,109.86501588821412,0.0115571389583983,0.0014141775167265068,0.007715463638305664,0.009294253672394965,0.001023217796651031,0.006740665435791016
train_25,400,112,-,-,-,-,0.0703890860080719,0.0179267489418994,109.86617813110352,0.0115571389583983,0.0014141775167265,0.0077390670776367,0.0092942536723949,0.001023217796651,0.0068082332611083
train_50,400,112,-,-,-,-,0.0722906470298767,0.0180718141650183,103.6120415687561,0.0115571389583983,0.0014141775167265,0.0078926086425781,0.0092942536723949,0.001023217796651,0.006900405883789
