N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
0.0,2000,2000,0.0,0.0,0.0,0.0,5.674362182617188e-06,8.559888393785165e-06,65.99281721115112,0.0081865497234937,0.0006197783942357,0.0021413326263427,0.0063467564132662,0.0007906857515325,0.0027854919433593
0.1,2000,2000,0.0017655160278081,6.694297349123644e-05,0.0026073903311043,0.0006578402701982,0.0011418104171752,0.0005068285679747,74.5476149559021,0.0082299478901018,0.0008969057371424,0.0019222259521484,0.0065317523838928,0.0009298197442167,0.0027959823608398
0.2,2000,2000,0.0073020488023757,0.0001309125422678,0.008786719944328,0.0013992428620429,0.0066701769828796,0.0010388887002314,77.32690711021424,0.0083027418511146,0.001009664660055,0.0019185066223144,0.0064881204000976,0.0011439993619385,0.0028021812438964
0.3,2000,2000,0.0170467019081115,0.0001913790325471,0.0189525488764047,0.0022489128207287,0.0163561940193176,0.0020057549969826,93.3110671043396,0.0085736561772629,0.0011493917881969,0.0019183635711669,0.0067533970795112,0.0011837212449808,0.0028014659881591
0.4,2000,2000,0.0318209797143936,0.0002484627757588,0.0339272610843181,0.0032440838895703,0.0309726893901824,0.0029304273834037,103.95608892440796,0.0086281608755377,0.0010411261099458,0.0019188404083251,0.0067239932222372,0.0009291825219601,0.0027963638305664
0.5,2000,2000,0.0530224457383155,0.0003029849330687,0.0551273167133331,0.0044131333006063,0.0522213339805603,0.004032721329835,99.66659603118896,0.0086023287686053,0.0007883249031365,0.0018732547760009,0.0067648936367546,0.0009240304082751,0.0027251720428466
0.6,2000,2000,0.083050824701786,0.0003551159953041,0.0849915355443954,0.005750204101589,0.0821738183498382,0.0052154981659175,103.16859903335572,0.0085211135284789,0.0022173245255881,0.0017789363861083,0.0067128834310132,0.0021874063212648,0.0025875091552734
0.7,2000,2000,0.1263443410396575,0.0004013187459975,0.1280165761709213,0.0072063437753499,0.1251345872879028,0.0066450931380791,102.68029680252076,0.0082202883704612,0.0014966565617274,0.0017717361450195,0.0063248730444401,0.0012915950890139,0.0025800228118896
0.8,2000,2000,0.1924375981092453,0.0004319696293807,0.1938106209039688,0.0086849432315956,0.1911698818206787,0.0079219370582722,92.03046822547913,0.008074221872128,0.001328779119843,0.0017830848693847,0.0062775940561494,0.0012406111711542,0.0025773048400878
0.9,2000,2000,0.3091929852962494,0.0004686823203809,0.3102900087833404,0.0098879327007106,0.3061701834201812,0.0089366877211311,127.52003126144407,0.0077373333715499565,0.0009547872116599722,0.001775503158569336,0.006052830691700562,0.0009252518501416156,0.0025797367095947267
