N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
0.0,2000,2000,0.0,0.0,0.0,0.0,3.0922889709472654e-05,5.42092197002328e-05,162.24690370559694,0.0081865497234937,0.0006197783942357,0.0020422935485839,0.0063467564132662,0.0007906857515325,0.0029805183410644
0.1,2000,2000,0.0017655160278081,6.694297349123644e-05,0.0026073903311043,0.0006578402701982,0.000477123260498,0.0008364185849198,159.53284730911255,0.0082299478901018,0.0008969057371424,0.0019542217254638,0.0065317523838928,0.0009298197442167,0.0028270721435546
0.2,2000,2000,0.0073020488023757,0.0001309125422678,0.008786719944328,0.0013992428620429,0.0012830376625061,0.0020400285858179,159.66067361831665,0.0083027418511146,0.001009664660055,0.0019623756408691,0.0064881204000976,0.0011439993619385,0.0028277873992919
0.3,2000,2000,0.0170467019081115,0.0001913790325471,0.0189525488764047,0.0022489128207287,0.0077505767345428,0.0037588439132757,171.27134408950806,0.0085736561772629,0.0011493917881969,0.0019509315490722,0.0067533970795112,0.0011837212449808,0.0030379772186279
0.4,2000,2000,0.0318209797143936,0.0002484627757588,0.0339272610843181,0.0032440838895703,0.0204369366168975,0.0045645492006045,182.6320062637329,0.0086281608755377,0.0010411261099458,0.0018849849700927,0.0067239932222372,0.0009291825219601,0.0027219295501708
0.5,2000,2000,0.0530224457383155,0.0003029849330687,0.0551273167133331,0.0044131333006063,0.040595543384552,0.004698299728832,183.48097767829896,0.0086023287686053,0.0007883249031365,0.0018394947052001,0.0067648936367546,0.0009240304082751,0.0027019023895263
0.6,2000,2000,0.083050824701786,0.0003551159953041,0.0849915355443954,0.005750204101589,0.0690625369548797,0.0060879407839741,196.6112570285797,0.0085211135284789,0.0022173245255881,0.0017914295196533,0.0067128834310132,0.0021874063212648,0.0025808334350585
0.7,2000,2000,0.1263443410396575,0.0004013187459975,0.1280165761709213,0.0072063437753499,0.1106010973453521,0.0084825635735183,188.6373523235321,0.0082202883704612,0.0014966565617274,0.0017968654632568,0.0063248730444401,0.0012915950890139,0.0042150497436523
0.8,2000,2000,0.1924375981092453,0.0004319696293807,0.1938106209039688,0.0086849432315956,0.172049194574356,0.0099913037077291,199.8499935626984,0.008074221872128,0.001328779119843,0.0017951965332031,0.0062775940561494,0.0012406111711542,0.0025867938995361
0.9,2000,2000,0.3091929852962494,0.0004686823203809,0.3102900087833404,0.0098879327007106,0.2876687407493591,0.0090770177793013,213.67003111839296,0.0077373333715499565,0.0009547872116599722,0.001789999008178711,0.006052830691700562,0.0009252518501416156,0.0025876522064208984
