N,M,L,Disc JS (MLP),Disc JS (RF),Disc JS (LogReg),Disc JS (XGBoost),Disc JS (LogRegPol),Disc JS (TabPFN),Time (MLP),Time (RF),Time (LogReg),Time (XGBoost),Time (LogRegPol),Time (TabPFN),Syndat JS,Syndat Time (s),Synthcity JS,Synthcity Time (s),GT MC JS
0.0,2000,2000,5.674362182617188e-06,3.0922889709472654e-05,0.0,0.0003105342388153,0.0,6.0039758682250974e-05,65.99281721115112,162.24690370559694,0.3434996604919433,63.39427738189697,32.18089761734009,0.5295377731323242,0.0081865497234937,0.0054520606994628,0.0063467564132662,0.0067914485931396,0.0
0.1,2000,2000,0.0011418104171752,0.000477123260498,0.0004413485527038,0.0,0.0008840322494506,0.0002552330493927,74.5476149559021,159.53284730911255,0.354861831665039,61.23572688102722,31.77679991722107,0.4319104671478271,0.0082299478901018,0.0057321548461914,0.0065317523838928,0.0085806369781494,0.0017655160278081
0.2,2000,2000,0.0066701769828796,0.0012830376625061,0.0005622625350952,0.00322687625885,0.0069212436676025,0.0060409128665924,77.32690711021424,159.66067361831665,0.3159859657287597,66.84631428718566,31.65633316040039,0.4287533760070801,0.0083027418511146,0.0085896015167236,0.0064881204000976,0.0125679016113281,0.0073020488023757
0.3,2000,2000,0.0163561940193176,0.0077505767345428,0.0004975736141204,0.0127771615982055,0.0165956199169158,0.0172719836235046,93.3110671043396,171.27134408950806,0.302052354812622,71.9502468585968,31.678885078430177,0.433634614944458,0.0085736561772629,0.0116148471832275,0.0067533970795112,0.018752384185791,0.0170467019081115
0.4,2000,2000,0.0309726893901824,0.0204369366168975,0.0008293449878692,0.018825626373291,0.0309029877185821,0.0317651271820068,103.95608892440796,182.6320062637329,0.3324440479278564,76.38722743988038,31.41769218444824,0.4246345043182373,0.0086281608755377,0.0106839179992675,0.0067239932222372,0.0187182903289794,0.0318209797143936
0.5,2000,2000,0.0522213339805603,0.040595543384552,0.0018534541130065,0.0413553416728973,0.0508426010608673,0.0528063237667083,99.66659603118896,183.48097767829896,0.3627378463745117,75.22021040916442,31.30949831008911,0.4256244659423828,0.0086023287686053,0.0056038379669189,0.0067648936367546,0.0083902835845947,0.0530224457383155
0.6,2000,2000,0.0821738183498382,0.0690625369548797,0.0024864971637725,0.0735455930233001,0.0821702122688293,0.0821652233600616,103.16859903335572,196.6112570285797,0.309757137298584,73.1387194633484,30.587157011032104,0.5023541927337647,0.0085211135284789,0.0046201705932617,0.0067128834310132,0.0063738822937011,0.083050824701786
0.7,2000,2000,0.1251345872879028,0.1106010973453521,0.0026826202869415,0.109770119190216,0.1256882429122924,0.124641215801239,102.68029680252076,188.6373523235321,0.2657987117767334,70.19958176612855,29.87743139266968,0.4273375034332275,0.0082202883704612,0.0073209285736083,0.0063248730444401,0.0115723133087158,0.1263443410396575
0.8,2000,2000,0.1911698818206787,0.172049194574356,0.0026202797889709,0.1722997426986694,0.1904797434806823,0.1906555294990539,92.03046822547913,199.8499935626984,0.278999376296997,83.44011344909669,31.04639105796814,0.4387186527252197,0.008074221872128,0.0075780868530273,0.0062775940561494,0.0150251865386962,0.1924375981092453
0.9,2000,2000,0.3061701834201812,0.2876687407493591,0.0038167893886566,0.2853668510913849,0.3073099970817566,0.3060894012451172,127.52003126144407,213.67003111839296,0.2833766460418701,92.82493152618407,35.797727537155154,0.4266740798950195,0.0077373333715499,0.0092984199523925,0.0060528306917005,0.0154610157012939,0.3091929852962494
