N,M,L,Analytical KL,Disc KL (MLP),Disc KL (RF),Disc KL (LogReg),Disc KL (XGBoost),Disc KL (LogRegPol),Disc KL (TabPFN),Time (MLP),Time (RF),Time (LogReg),Time (XGBoost),Time (LogRegPol),Time (TabPFN)
0.0,2000,2000,-,-0.0085007742163725,-0.008130023709964,-0.0020225163025315,0.0051823280286043,-0.0009398804279044,-0.002038882416673,1065.1155148506164,30.234231376647948,0.3434996604919433,5.217209815979004,0.3652129173278808,0.5295377731323242
0.1,2000,2000,-,0.0005827666682307,-0.002644407749176,0.0006550058461471,-0.0038263348367763,0.0033569551305845,-0.0027532453183084,1161.6774896144866,27.164508438110357,0.354861831665039,5.233275699615478,0.3503326416015625,0.4319104671478271
0.2,2000,2000,-,0.0076269845478236,0.0069614285835996,0.001704392209649,0.0006538112240377,0.0297344852238893,0.0222535865148529,1182.7955490112304,29.525565338134765,0.3159859657287597,5.22774338722229,0.3454483032226562,0.4287533760070801
0.3,2000,2000,-,0.0318261310458183,0.037942424044013,0.0016744973603636,-0.0047763814451172,0.0752530001103878,0.0601533308625221,1539.6503706932067,29.223600816726684,0.302052354812622,5.244195747375488,0.3758803844451904,0.433634614944458
0.4,2000,2000,-,0.0598160542547702,0.0924035213887691,0.0016420934349298,-0.0022597055416554,0.1465870529413223,0.1205381542444229,1686.1909925460816,30.580066013336182,0.3324440479278564,5.1829915046691895,0.3451632022857666,0.4246345043182373
0.5,2000,2000,-,0.1039414167404174,0.1511112377047538,0.0009615836796001,-0.0053058740682899,0.2849203258752822,0.2085987359285354,1654.2517220973969,29.598518943786623,0.3627378463745117,5.261155509948731,0.3836333751678467,0.4256244659423828
0.6,2000,2000,-,0.163814440369606,0.3270080178976059,0.0023530362173914,-0.0059015687089413,0.5427370071411133,0.3591655910015106,770.4698339939117,25.3021888256073,0.309757137298584,5.247076940536499,0.3394009590148926,0.5023541927337647
0.7,2000,2000,-,0.2589370548725128,0.4773136615753174,0.0048167557688429,-0.0014303561416454,0.984432291984558,0.6193886399269104,734.2815537929534,25.334740591049197,0.2657987117767334,5.215069961547852,0.3027923107147217,0.4273375034332275
0.8,2000,2000,-,0.4106206715106964,1.2839367985725405,0.0091340960003435,-0.0029916239436715,1.868769645690918,1.1314094543457032,520.0144632816315,25.424173259735102,0.278999376296997,5.240020275115967,0.3598450660705566,0.4387186527252197
0.9,2000,2000,-,0.7049887657165528,3.51485013961792,0.0157112082466483,0.0040966556407511,3.913455772399902,2.3783019542694093,649.852578830719,25.557391595840453,0.2833766460418701,5.283913087844849,0.5127277374267578,0.4266740798950195
