N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
train_100,400,112,-,-,-,-,0.0532701671123504,0.0189358754868786,16.28063063621521,0.0350886256872294,0.0020487708175249,0.0192508220672607,0.0260723332773885,0.0015893751602809,0.0150936126708984
train_50,400,112,-,-,-,-,0.0751545131206512,0.0364398158725646,17.104531049728394,0.0350886256872294,0.0020487708175249,0.0192155838012695,0.0260723332773885,0.0015893751602809,0.0152423381805419
train_25,400,112,-,-,-,-,0.0675559103488922,0.038213762024837,16.576811504364013,0.0350886256872294,0.0020487708175249,0.0190291404724121,0.0260723332773885,0.0015893751602809,0.0150831222534179
train_12_5,400,112,-,-,-,-,0.0698502480983734,0.028069730370114,17.514881134033203,0.03508862568722946,0.0020487708175249966,0.018758726119995118,0.026072333277388577,0.0015893751602809724,0.014884567260742188
